Step,Unique_1gram_Percentage,Unique_2gram_Percentage,Unique_3gram_Percentage
0,6.949891067538126,10.11389521640091,10.477326968973747
10,8.518518518518519,13.78132118451025,15.94272076372315
20,9.433551198257081,16.01366742596811,19.18854415274463
30,10.14176663031625,17.309007981755986,20.9557945041816
40,10.752453653217012,18.905359179019385,23.273596176821982
50,11.259000654593061,19.94067989961214,24.766913698302652
60,11.074776542402441,20.401185320264418,25.48363983759255
70,11.520034843205575,21.083788706739526,26.59828244274809
80,12.026143790849673,21.799544419134396,27.56563245823389
90,12.040060962333987,22.513089005235603,28.642976389220127
100,12.448313384113167,22.935153583617748,29.01072705601907
